n-gram	total_score	total_occurrences	average_score
Pimp ( 10	-1.4	1	-1.4
( 10 )	-1.4	4	-0.35
10 ) Successfully	-1.4	1	-1.4
) Successfully complete	-1.4	1	-1.4
Successfully complete all	-1.4	1	-1.4
complete all the	-1.4	1	-1.4
all the Snatch	-1.4	1	-1.4
the Snatch locations	-1.4	1	-1.4
Snatch locations and	-1.4	1	-1.4
locations and levels	-1.4	1	-1.4
and levels .	-1.4	1	-1.4
it 's a	-0.6000000000000001	11	-0.05454545454545456
's a Holiday	-1.8	1	-1.8
a Holiday Inn	-1.8	1	-1.8
Holiday Inn for	-1.8	1	-1.8
Inn for terroists	-1.8	1	-1.8
for terroists .	-1.8	1	-1.8
Good Luck and	-2.0	1	-2.0
Luck and do	-2.0	1	-2.0
and do n't	-6.4	6	-1.0666666666666667
do n't give	-4.2	2	-2.1
n't give up	-2.0	1	-2.0
give up !	-2.0	1	-2.0
Most SHC victims	0.2	1	0.2
SHC victims are	0.2	1	0.2
victims are found	0.2	1	0.2
are found near	0.2	1	0.2
found near a	0.2	1	0.2
near a heat	0.2	1	0.2
a heat source	0.2	1	0.2
heat source .	0.2	1	0.2
Tanay : I	-1.6	1	-1.6
: I did	-1.6	1	-1.6
I did have	-1.6	1	-1.6
did have an	-1.6	1	-1.6
have an opinion	-1.6	1	-1.6
an opinion .	-1.6	1	-1.6
if you like	-3.0	2	-1.5
you like him	-4.6	3	-1.5333333333333332
like him tell	-1.8	1	-1.8
him tell him	-1.8	1	-1.8
tell him !	-1.8	1	-1.8
that 's bull	-3.0	1	-3.0
's bull *	-3.0	1	-3.0
bull * *	-3.0	1	-3.0
* * *	-157.6	58	-2.717241379310345
* * !	-3.0	1	-3.0
Patients have financial	2.2	1	2.2
have financial incentives	2.2	1	2.2
financial incentives to	2.2	1	2.2
incentives to select	2.2	1	2.2
to select providers	2.2	1	2.2
select providers within	2.2	1	2.2
providers within the	2.2	1	2.2
within the PPO	2.2	1	2.2
the PPO network	2.2	1	2.2
PPO network .	2.2	1	2.2
Rhizomes - they	0.4	1	0.4
- they are	0.4	1	0.4
they are roots	0.4	1	0.4
are roots or	0.4	1	0.4
roots or underground	0.4	1	0.4
or underground stems	0.4	1	0.4
underground stems ,	0.4	1	0.4
stems , as	0.4	1	0.4
, as in	0.4	1	0.4
as in ginger	0.4	1	0.4
in ginger .	0.4	1	0.4
Coke Pizza Snickers	-3.0	1	-3.0
Pizza Snickers Black	-3.0	1	-3.0
Snickers Black Jeans	-3.0	1	-3.0
Black Jeans Shoes	-3.0	1	-3.0
Jeans Shoes Cold	-3.0	1	-3.0
If you want	-4.2	2	-2.1
you want it	-3.8	2	-1.9
want it all	-1.8	1	-1.8
it all I	-1.8	1	-1.8
all I found	-1.8	1	-1.8
I found out	-1.8	1	-1.8
found out who	-1.8	1	-1.8
out who did	-0.19999999999999996	2	-0.09999999999999998
who did it	-1.8	1	-1.8
did it ?	-1.8	1	-1.8
02/09/78 - Abducts	0.6	1	0.6
- Abducts Kimberly	0.6	1	0.6
Abducts Kimberly Ann	0.6	1	0.6
Kimberly Ann Leach	0.6	1	0.6
Ann Leach from	0.6	1	0.6
Leach from her	0.6	1	0.6
from her school	0.6	1	0.6
her school in	0.6	1	0.6
school in Lake	0.6	1	0.6
in Lake City	0.6	1	0.6
Lake City ,	0.6	1	0.6
City , Florida	0.6	1	0.6
, Florida .	0.6	1	0.6
These are the	0.0	1	0.0
are the same	1.7999999999999998	4	0.44999999999999996
the same compounds	0.0	1	0.0
same compounds that	0.0	1	0.0
compounds that give	0.0	1	0.0
that give farts	0.0	1	0.0
give farts their	0.0	1	0.0
farts their odor	0.0	1	0.0
their odor .	0.0	1	0.0
No , to	-1.0	1	-1.0
, to the	-1.0	1	-1.0
to the contrary	-2.4	2	-1.2
the contrary .	-2.4	2	-1.2
i ' m	-15.200000000000001	7	-2.1714285714285717
' m not	-12.6	10	-1.26
m not sure	-4.2	4	-1.05
not sure why	-2.0	1	-2.0
sure why though	-2.0	1	-2.0
why though .	-2.0	1	-2.0
Fifth , Scientology	1.4	1	1.4
, Scientology has	1.4	1	1.4
Scientology has a	1.4	1	1.4
has a warped	1.4	1	1.4
a warped code	1.4	1	1.4
warped code of	1.4	1	1.4
code of ethics	1.4	1	1.4
of ethics .	1.4	1	1.4
Applied ecology applies	2.2	1	2.2
ecology applies ecological	2.2	1	2.2
applies ecological principles	2.2	1	2.2
ecological principles to	2.2	1	2.2
principles to the	2.2	1	2.2
to the management	2.2	1	2.2
the management of	2.2	2	1.1
management of populations	2.2	1	2.2
of populations of	2.2	1	2.2
populations of crops	2.2	1	2.2
of crops and	2.2	1	2.2
crops and animals	2.2	1	2.2
and animals .	2.2	1	2.2
No , he	1.2	1	1.2
, he is	0.6	2	0.3
he is a	0.3999999999999999	3	0.1333333333333333
is a slave	1.2	1	1.2
a slave to	1.2	1	1.2
slave to the	1.2	1	1.2
to the interpretations	1.2	1	1.2
the interpretations of	1.2	1	1.2
interpretations of the	1.2	1	1.2
of the modern	2.4	2	1.2
the modern idiot/evangelist	1.2	1	1.2
modern idiot/evangelist .	1.2	1	1.2
I fail to	1.6	1	1.6
fail to see	1.6	1	1.6
to see how	4.4	4	1.1
see how his	1.6	1	1.6
how his religion	1.6	1	1.6
his religion has	1.6	1	1.6
religion has anything	1.6	1	1.6
