n-gram	total_score	total_occurrences	average_score
Pimp (	-1.4	1	-1.4
( 10	-1.4	4	-0.35
10 )	-2.066666666667	5	-0.4133333333334
) Successfully	-1.4	1	-1.4
Successfully complete	-1.4	1	-1.4
complete all	-1.4	1	-1.4
all the	1.1000000000000005	57	0.019298245614035096
the Snatch	-1.4	1	-1.4
Snatch locations	-1.4	1	-1.4
locations and	-3.15	2	-1.575
and levels	-1.4	1	-1.4
levels .	-1.4	1	-1.4
it 's	-57.16666666667	68	-0.8406862745098529
's a	-23.6	34	-0.6941176470588236
a Holiday	-1.8	1	-1.8
Holiday Inn	-1.8	1	-1.8
Inn for	-1.8	1	-1.8
for terroists	-1.8	1	-1.8
terroists .	-1.8	1	-1.8
Good Luck	-2.2	2	-1.1
Luck and	-2.0	1	-2.0
and do	-2.999999999999999	15	-0.19999999999999993
do n't	-236.56666666667005	148	-1.5984234234234462
n't give	-4.2	2	-2.1
give up	-1.8000000000000003	4	-0.45000000000000007
up !	-2.0	1	-2.0
Most SHC	0.2	1	0.2
SHC victims	0.2	1	0.2
victims are	0.2	1	0.2
are found	0.2	1	0.2
found near	0.2	1	0.2
near a	1.5999999999999999	2	0.7999999999999999
a heat	0.2	1	0.2
heat source	0.2	1	0.2
source .	1.6653345369377348e-16	4	4.163336342344337e-17
Tanay :	-4.2	2	-2.1
: I	-10.75	9	-1.1944444444444444
I did	-7.916666666667002	21	-0.37698412698414296
did have	-2.0	2	-1.0
have an	-1.3499999999999994	20	-0.06749999999999998
an opinion	-1.6	1	-1.6
opinion .	-2.8	3	-0.9333333333333332
if you	-45.13333333333399	67	-0.6736318407960297
you like	-6.4	5	-1.28
like him	-8.200000000000001	5	-1.6400000000000001
him tell	-1.8	1	-1.8
tell him	-9.2	7	-1.3142857142857143
him !	-2.8	2	-1.4
that 's	-60.85000000000001	41	-1.4841463414634148
's bull	-3.0	1	-3.0
bull *	-3.0	1	-3.0
* *	-174.79999999999998	67	-2.6089552238805966
* !	-3.0	1	-3.0
Patients have	2.2	1	2.2
have financial	2.2	1	2.2
financial incentives	2.2	1	2.2
incentives to	2.2	1	2.2
to select	2.2	1	2.2
select providers	2.2	1	2.2
providers within	2.2	1	2.2
within the	12.250000000000002	12	1.0208333333333335
the PPO	2.2	1	2.2
PPO network	2.2	1	2.2
network .	1.85	3	0.6166666666666667
Rhizomes -	0.4	1	0.4
- they	1.8000000000000003	4	0.45000000000000007
they are	-12.58333333332999	63	-0.19973544973539667
are roots	0.4	1	0.4
roots or	0.4	1	0.4
or underground	0.4	1	0.4
underground stems	0.4	1	0.4
stems ,	0.4	1	0.4
, as	23.549999999999997	27	0.8722222222222221
as in	-1.2000000000000002	2	-0.6000000000000001
in ginger	0.4	1	0.4
ginger .	0.4	1	0.4
Coke Pizza	-3.0	1	-3.0
Pizza Snickers	-3.0	1	-3.0
Snickers Black	-3.0	1	-3.0
Black Jeans	-3.0	1	-3.0
Jeans Shoes	-3.0	1	-3.0
Shoes Cold	-3.0	1	-3.0
If you	-5.300000000000006	58	-0.09137931034482769
you want	-18.599999999999998	29	-0.6413793103448275
want it	-11.2	5	-2.2399999999999998
it all	-2.8	7	-0.39999999999999997
all I	-3.8	5	-0.76
I found	-7.800000000000001	6	-1.3
found out	-1.2	3	-0.39999999999999997
out who	0.0	3	0.0
who did	-0.5999999999999996	5	-0.11999999999999993
did it	-5.1	11	-0.4636363636363636
it ?	-25.200000000000003	15	-1.6800000000000002
02/09/78 -	0.6	1	0.6
- Abducts	3.0	3	1.0
Abducts Kimberly	0.6	1	0.6
Kimberly Ann	0.6	1	0.6
Ann Leach	0.6	1	0.6
Leach from	0.6	1	0.6
from her	3.6	5	0.72
her school	0.6	1	0.6
school in	-0.15000000000000002	6	-0.025000000000000005
in Lake	1.35	2	0.675
Lake City	0.6	1	0.6
City ,	0.6	1	0.6
, Florida	7.433333333333	12	0.6194444444444166
Florida .	19.999999999999996	19	1.0526315789473681
These are	1.4000000000000004	10	0.14000000000000004
are the	-6.050000000000008	41	-0.14756097560975628
the same	34.650000000000006	81	0.42777777777777787
same compounds	0.0	1	0.0
compounds that	0.0	1	0.0
that give	0.0	1	0.0
give farts	0.0	1	0.0
farts their	0.0	1	0.0
their odor	0.0	1	0.0
odor .	0.0	1	0.0
No ,	-21.15	21	-1.0071428571428571
, to	21.516666666667	19	1.1324561403508948
to the	291.5333333333331	380	0.7671929824561396
the contrary	-2.4	2	-1.2
contrary .	-2.4	2	-1.2
i '	-25.4	12	-2.1166666666666667
' m	-97.69999999999997	68	-1.4367647058823525
m not	-12.6	10	-1.26
not sure	-7.3999999999999995	11	-0.6727272727272727
sure why	-2.0	1	-2.0
why though	-2.0	1	-2.0
though .	-16.100000000000005	14	-1.1500000000000004
Fifth ,	1.4	1	1.4
, Scientology	1.4	2	0.7
Scientology has	1.4	1	1.4
has a	22.6	33	0.6848484848484849
a warped	1.4	1	1.4
warped code	1.4	1	1.4
code of	1.0	3	0.3333333333333333
of ethics	1.4	1	1.4
ethics .	1.4	1	1.4
Applied ecology	2.2	1	2.2
ecology applies	2.2	1	2.2
applies ecological	2.2	1	2.2
ecological principles	2.2	1	2.2
principles to	2.2	1	2.2
the management	2.2	2	1.1
management of	6.5	4	1.625
of populations	2.2	1	2.2
populations of	2.2	1	2.2
of crops	2.2	1	2.2
crops and	3.2	2	1.6
and animals	2.2	1	2.2
animals .	4.6	2	2.3
, he	8.7	16	0.54375
he is	6.6	38	0.17368421052631577
is a	82.19999999999999	191	0.4303664921465968
a slave	1.2	1	1.2
slave to	1.2	1	1.2
the interpretations	1.2	1	1.2
interpretations of	1.2	1	1.2
of the	812.2333333333378	960	0.8460763888888935
the modern	2.4	2	1.2
modern idiot/evangelist	1.2	1	1.2
idiot/evangelist .	1.2	1	1.2
I fail	0.6000000000000001	2	0.30000000000000004
fail to	3.2	2	1.6
to see	9.433333333329998	64	0.1473958333332812
see how	-0.19999999999999973	9	-0.022222222222222192
how his	1.6	1	1.6
his religion	1.6	1	1.6
religion has	1.6	1	1.6
has anything	2.6	3	0.8666666666666667
anything to	1.0000000000000004	11	0.09090909090909095
to do	-4.999999999999994	81	-0.061728395061728315
do with	-3.6499999999999986	20	-0.18249999999999994
with it	-7.949999999999999	10	-0.7949999999999999
it .	-85.54999999999997	109	-0.7848623853211006
`` interesing	-3.0	1	-3.0
interesing !	-3.0	1	-3.0
! ''	-16.35	8	-2.04375
* Contrary	-0.2	1	-0.2
Contrary to	1.0	2	0.5
to popular	-0.2	1	-0.2
popular belief	-0.2	1	-0.2
belief ,	-0.2	1	-0.2
, the	41.099999999996	75	0.5479999999999466
the Titanic	-0.2	1	-0.2
Titanic did	-0.2	1	-0.2
did n't	-30.566666666666997	22	-1.3893939393939545
n't hit	-0.2	1	-0.2
hit an	-0.2	1	-0.2
an iceberg	-0.2	1	-0.2
iceberg .	-0.2	1	-0.2
Do n't	-49.25	31	-1.5887096774193548
n't drive	-1.0	1	-1.0
drive her	-1.0	1	-1.0
her to	-9.599999999999998	10	-0.9599999999999997
to an	9.4	18	0.5222222222222223
an emergency	0.5999999999999999	4	0.14999999999999997
emergency room	-0.19999999999999996	2	-0.09999999999999998
room by	-1.0	1	-1.0
by car	-1.0	1	-1.0
car .	-1.2000000000000002	3	-0.4000000000000001
probably best	-1.8	1	-1.8
best to	-0.7500000000000002	7	-0.10714285714285718
to check	-0.8499999999999995	6	-0.14166666666666658
check out	-7.9	7	-1.1285714285714286
out their	-1.8	1	-1.8
their web	-1.8	1	-1.8
web site	2.1499999999999995	6	0.3583333333333332
site to	-0.8	2	-0.4
to be	91.48333333333296	241	0.3795988934993069
be on	0.7499999999999997	11	0.06818181818181815
on the	138.40000000000296	307	0.4508143322475667
the safe	0.0	2	0.0
